"","Text","Score","Positive","Negative"
"221","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"222","Did they mention thisWHCDTrumpRally NotTheWHCD PresidentTrump BestPresidentEverAMJoy KPJqlQK",0,0,0
"223","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist",2,2,0
"224","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"225","THE GENOCIDE MUST STOP THE UNBORN HAS RIGHTS MarchForLife DefundPlannedParenthood PresidentTrump MakeAmericaGrea",-1,0,1
"226","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"227","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"228","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"229","PresidentTrumpTrumpRallyDonald Trump ChuckSchumer Leading Democrats to Doom
NHDgwqhRcsMAGA tcot PJNET",2,2,0
"230","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"231","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President",1,1,0
"232","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst",1,1,0
"233","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"234","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"235","PresidentTrump YOU ARE AWES",0,0,0
"236","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"237","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst",-1,0,1
"238","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"239","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"240","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"241","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"242","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"243","MTPresidentTrump families want to know will you KeepYourPromise to StopCommonCore yMdJgegGH PJNET",0,0,0
"244","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"245","Just amazing but completely expected They American people the patriots of our nation LOVE OUR PresidentTrump Gods ble",2,2,0
"246","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"247","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"248","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"249","He is a chion of the people in every wayLove PresidentTrump",0,0,0
"250","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"251","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"252","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T",-1,0,1
"253","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr",0,0,0
"254","PresidentTrump YOU ARE AWES",0,0,0
"255","Yes our PresidentTrump ROCKS vImjlhlyJH",0,0,0
"256","Enough said
TrumpMAGAPresidentTrump cgZzdRCLQu",1,1,0
"257","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
"258","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A",0,2,2
